,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3504,CHEMBL4079314,5870.0,nM,Cc1cc(C)cc(-c2nc(NC3CCCC3)c3ncn([C@@H]4O[C@H](Cn5nc(C)cc5C)[C@@H](O)[C@H]4O)c3n2)c1,5.231361898752386,517.28013798,10,3,3.597380000000003,True
3505,CHEMBL101663,5900.0,nM,Nc1nc(-c2cnn(CCc3ccccc3)c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.229147988357855,437.18115221599993,11,4,0.12619999999999953,True
3506,CHEMBL1098444,5900.0,nM,N=C(NCCc1c[nH]c2ccccc12)Nc1ncccn1,5.229147988357855,280.143644512,3,4,2.13687,True
3507,CHEMBL2151127,5900.0,nM,O=C(Nc1nc(-c2ccccc2)n[nH]1)C1CCCO1,5.229147988357855,258.111675688,4,2,1.5891999999999997,True
3508,CHEMBL102430,5900.0,nM,Nc1ccc2c(O)cc(-c3ccccc3)nc2n1,5.229147988357855,237.090211972,4,2,2.5846,True
3509,CHEMBL1834627,5930.0,nM,Cn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccc(Br)cc4)nc23)n1,5.226945306635738,480.04579738800004,7,2,4.223600000000002,True
3510,CHEMBL2391835,5950.0,nM,Cc1sc2nc(-c3sc(NC(=O)c4ccco4)nc3-c3ccccc3)nc(N)c2c1C,5.22548303427145,447.0823667840001,8,2,5.526140000000004,True
3511,CHEMBL21654,5970.0,nM,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccc(Cl)cc3)nn12,5.224025668870631,389.115571192,7,1,3.6193000000000026,True
3512,CHEMBL3410314,6000.0,nM,CCOC(=O)c1nc(NC(=O)c2ccc(C)cc2)nc2nn(CCc3ccccc3)cc12,5.221848749616356,429.1800895960001,7,1,3.806420000000003,True
3514,CHEMBL474207,6000.0,nM,CC(C)Cn1c(Br)nc2c(N)ncnc21,5.221848749616356,269.027607484,5,1,1.8270000000000002,True
3515,CHEMBL598726,6000.0,nM,Cc1ccc(Nc2nc(N)nc(CSC(C)C(=O)NCc3ccccc3Cl)n2)cc1,5.221848749616356,442.13425803600006,7,3,4.0973200000000025,True
3520,CHEMBL3410312,6100.0,nM,CCOC(=O)c1nc(NC(=O)c2ccc(F)cc2)nc2nn(CCc3ccccc3)cc12,5.214670164989233,433.15501772000005,7,1,3.637100000000003,True
3521,CHEMBL151071,6100.0,nM,Nc1ncnc2c1nc(Br)n2Cc1ccccc1,5.214670164989233,303.01195742,5,1,2.2192999999999996,True
3522,CHEMBL366216,6100.0,nM,CN(C)c1ccc(Nc2nc(NC3CCCCC3)c3[nH]cnc3n2)cc1,5.214670164989233,351.21714380000003,6,3,3.9071000000000025,True
3523,CHEMBL3122212,6100.0,nM,Cc1ccncc1-c1nn(C)c2nc(OCc3ccccn3)cnc12,5.214670164989233,332.13855913200007,7,0,2.707720000000001,True
3524,CHEMBL602076,6100.0,nM,N#CC1=C(NC(=O)CSc2ncc(C#N)c(N)n2)SC2CCCCC12,5.214670164989233,372.082701132,8,2,2.1795600000000004,True
3525,CHEMBL2181146,6120.0,nM,CCOc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,5.213248577854438,284.10217362400005,8,0,1.6696999999999997,True
3526,CHEMBL583637,6200.0,nM,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,5.207608310501746,520.071986532,8,4,1.0717999999999992,True
3527,CHEMBL280580,6200.0,nM,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,5.207608310501746,520.071986532,8,4,1.0717999999999992,True
3528,CHEMBL378514,6250.0,nM,CC(=O)Nc1nc2c(N)cccc2n2c(=O)n(-c3ccccc3)nc12,5.204119982655925,334.11782368800004,7,2,1.5739999999999998,True
3529,CHEMBL592679,6250.0,nM,Cc1ccc(C(=O)c2sc(NC(=O)c3ccccc3)nc2-c2ccccc2)cc1,5.204119982655925,398.108898816,4,1,5.601820000000004,True
3531,CHEMBL220386,6290.0,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccc(F)cc4)nc32)[C@H](O)[C@@H]1O,5.201349354554731,456.155745992,10,4,0.09379999999999933,True
3532,CHEMBL7098,6300.0,nM,Cn1c2ccccc2n2c(=O)c(-c3ccco3)nnc12,5.200659450546418,266.08037556,6,0,1.8412,True
3533,CHEMBL220899,6310.0,nM,CONc1nc(C#Cc2ccncc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.199970640755866,398.1338676759999,11,4,-0.7941000000000007,True
3534,CHEMBL4176479,6330.0,nM,Cn1c(-c2cccnc2)nc2c(NC3CCCC3)ncnc21,5.198596289982644,294.159294576,6,1,2.7798000000000007,True
3535,CHEMBL3314926,6390.0,nM,O=C(O)c1cnc(NCc2ccc(F)cc2)n2nc(-c3ccco3)nc12,5.1944991418416,353.092417464,7,2,2.833700000000001,True
3536,CHEMBL392149,6390.0,nM,OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)ncnc32)[C@H](O)[C@@H]1O,5.1944991418416,337.13861870799997,10,4,-1.3613999999999993,True
3537,CHEMBL2151251,6400.0,nM,Cc1ccc(O[C@H](C)C(=O)Nc2nc(-c3ccccc3)n[nH]2)cc1,5.1938200260161125,322.14297581600005,4,2,3.1861200000000007,True
3538,CHEMBL414157,6400.0,nM,CCCn1c(=O)c2nc(C34CCC(CCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,5.1938200260161125,416.24235550400005,6,2,3.163100000000002,True
3539,CHEMBL386974,6410.0,nM,CCCn1c(=O)c2nc([C@]34CC[C@](CCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,5.193141970481182,416.24235550400005,6,2,3.163100000000002,True
3540,CHEMBL2112177,6420.0,nM,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)ncnc31)[C@H](O)[C@@H]2O,5.192464971931146,372.19098862799996,8,4,0.20959999999999857,True
3541,CHEMBL2180926,6430.0,nM,CCN(CCO)c1nc2nn(C)cc2c2nc(-c3ccco3)nn12,5.191789027075778,327.14437278400004,9,1,1.0895999999999997,True
3542,CHEMBL3403724,6450.0,nM,CCOC(=O)c1c(NC(=O)c2sc(Nc3ccccc3)nc2N(C)C)sc2c1CCCC2,5.1904402853647325,470.144632692,8,2,5.3220000000000045,True
3543,CHEMBL2170790,6450.0,nM,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(N[C@H](C3CCC3)C3CC3)nc(Cl)nc21,5.1904402853647325,389.161852688,7,3,2.3829000000000002,True
3544,CHEMBL374462,6460.0,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccccn4)nc32)[C@H](O)[C@@H]1O,5.189767482004916,439.160416772,11,4,-0.6502999999999997,True
3545,CHEMBL3314909,6480.0,nM,CCOC(=O)c1cnc(N(C)C)n2nc(-c3ccco3)nc12,5.188424994129407,301.11748934,8,0,1.6269999999999996,True
