,molecule_chembl_id,Ki,units,smiles,pKi
54,CHEMBL480570,0.3,nM,Cc1nccnc1-c1nc2cc(N(C)CCN3CCN(c4ccc(F)cc4F)CC3)nc(N)n2n1,9.522878745280337
55,CHEMBL256123,0.3,nM,CCNCc1cccc(OCC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)c1,9.522878745280337
56,CHEMBL3121723,0.31,nM,Cn1c(=O)c2[nH]c(-c3ccc(OCCN4CCOCC4)cc3)nc2n(C)c1=O,9.508638306165727
57,CHEMBL16867,0.31,nM,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,9.508638306165727
58,CHEMBL184061,0.33,nM,Nc1nc(NCCN2CCN(c3ccc(F)cc3F)CC2)nc2nc(-c3ccco3)nn12,9.481486060122112
59,CHEMBL1093270,0.38,nM,CCCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,9.42021640338319
60,CHEMBL393410,0.4,nM,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)c1,9.397940008672037
61,CHEMBL3121720,0.4,nM,CN(C)CCOc1ccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1,9.397940008672037
62,CHEMBL4203542,0.4,nM,Cc1nc2cc(N3CCN(CCn4c(=O)n(C)c5c4nc(N)n4nc(-c6ccco6)nc54)CC3)c(F)cc2o1,9.397940008672037
63,CHEMBL3906827,0.4,nM,COc1cccc2c(C(=O)NCc3cccc(C(F)(F)F)n3)nc(N)nc12,9.397940008672037
64,CHEMBL3932655,0.4,nM,COc1cccc2c(C(=O)NCc3cccc(C(C)(C)O)n3)nc(N)nc12,9.397940008672037
65,CHEMBL401895,0.4,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CN(C)C)c3)nc(-c3ccc(C)o3)n2)n1,9.397940008672037
66,CHEMBL4217582,0.4,nM,COc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)c1,9.397940008672037
67,CHEMBL4209408,0.4,nM,COCC(C)Oc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.397940008672037
68,CHEMBL4167813,0.42,nM,Nc1nc(NCc2ccccn2)nc2sc(-c3ccco3)nc12,9.3767507096021
69,CHEMBL572411,0.43,nM,CCOC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.366531544420413
70,CHEMBL22200,0.43,nM,CCOC(=O)COc1ccc(CCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,9.366531544420413
71,CHEMBL487553,0.44,nM,COC1CCN(c2cccc(-c3cc(NC(C)=O)nc(-n4nc(C)cc4C)n3)n2)CC1,9.356547323513812
72,CHEMBL487554,0.47,nM,COC1CN(c2cccc(-c3cc(NC(C)=O)nc(-n4nc(C)cc4C)n3)n2)C1,9.327902142064282
73,CHEMBL4210241,0.5,nM,COCCOc1cccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c1,9.301029995663981
74,CHEMBL3902955,0.5,nM,COc1cccc2c(C(=O)NCc3cccc(COC4CCCC4)n3)nc(N)nc12,9.301029995663981
75,CHEMBL256331,0.5,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3cc(F)cc(CN(C)C)c3)nc(-c3ccc(C)o3)n2)n1,9.301029995663981
76,CHEMBL4204531,0.5,nM,COCC(C)(C)Oc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,9.301029995663981
77,CHEMBL3764083,0.5,nM,Nc1nc(C(=O)NCc2cccc3cccnc23)c2cccc(F)c2n1,9.301029995663981
78,CHEMBL256332,0.5,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3cc(F)cc(CN4CCCC4)c3)nc(-c3ccc(C)o3)n2)n1,9.301029995663981
79,CHEMBL240213,0.5,nM,Nc1nc2c(cnn2CCN2CCN(c3ccc(Cl)cc3)CC2)c2nc(-c3ccco3)nn12,9.301029995663981
80,CHEMBL1950649,0.5,nM,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC[C@H]4CC[C@H](C(=O)OC)CC4)nc32)[C@H](O)[C@@H]1O,9.301029995663981
81,CHEMBL403846,0.5,nM,Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CCN(C)C)c3)nc(-c3ccc(C)o3)n2)n1,9.301029995663981
82,CHEMBL4207104,0.5,nM,Cn1c(=O)n(CCN2CCN(c3ccc(C#N)c(F)c3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21,9.301029995663981
83,CHEMBL469026,0.5,nM,CC(C)(C)OC(=O)N1CCN(c2cccc(-c3cc4nc(-c5ccco5)nn4c(N)n3)c2)CC1,9.301029995663981
84,CHEMBL514939,0.5,nM,COCCN(CCN1CCN(c2ccc(F)cc2F)CC1)c1cc2nc(-c3ccco3)nn2c(N)n1,9.301029995663981
85,CHEMBL3941632,0.5,nM,COc1cccc2c(C(=O)NCc3cccc(C)n3)nc(N)nc12,9.301029995663981
86,CHEMBL3291301,0.56,nM,C#CCn1c(Br)nc2c(N)nc(C#CCCCCCC)nc21,9.2518119729938
87,CHEMBL521356,0.56,nM,CC(=O)Nc1cc(-c2cccc(N3CCCCC3)n2)nc(-n2nc(C)cc2C)n1,9.2518119729938
88,CHEMBL1093203,0.57,nM,S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1ccc(I)cc1,9.244125144327509
89,CHEMBL278805,0.59,nM,Nc1nc2c(cnn2CCc2ccc(S(=O)(=O)N(CCCl)CCCl)cc2)c2nc(-c3ccco3)nn12,9.229147988357855
